Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL
4 Bedroom Duplex,Duplex,"4 bedroom House for sale Carlton Gate Estate Akobo Ibadan Oyo selling for ₦270,000,000.",270000000,4,0,0,Carlton Gate Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-duplex-4VZVlGK7um6FIiBRb3MO.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-Lqdvv9VgepvoUUmk9rsv.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-KP1RLr2kUWHybp0Ug9L6.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-jMCWGVJJ9uyDdCJZyDeI.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-eFHEb18Clmm2DXNlSH5i.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-PItFEEp0nzyQZDJtCM9n.jpg""]",Fully Furnished,"[""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-carlton-gate-estate-akobo-ibadan-oyo-5NPXQ
4 Bedroom Terraced Duplex,Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦150,000,000.",150000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terraced-duplex-qJ6P1ZOQl5HxYFxbaidd.jpg""]",Fully Furnished,"[""24 Hours Security"", ""Big Compound"", ""Children Play Ground"", ""Parking Space""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-7NQKB
5 Bedroom Bungalow,Bungalow,"5 bedroom House for sale Ayegoro Estate, Akobo Ibadan Oyo selling for ₦145,000,000.",145000000,5,6,6,"Ayegoro Estate, Akobo Ibadan Oyo",Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-bungalow-4XqpX2Bl2iMbQvKM2OR7.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-tuPcPQZEdY8bRMi7kMDm.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-V6a5S3TazJheZlHfFyDO.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-nsV4hmMM2lxb2jZdYOCL.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-XA7aN1RJnhLpRj21cZId.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-hOQaPy4NZHnB6DGnjB7H.jpg""]",Fully Furnished,"[""Big Compound"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-ayegoro-estate-akobo-ibadan-oyo-6NPVU
5 Bedroom Bungalow,Bungalow,"5 bedroom House for sale Ayegoro Estate, Akobo Ibadan Oyo selling for ₦145,000,000.",145000000,5,6,6,"Ayegoro Estate, Akobo Ibadan Oyo",Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-bungalow-3vhNNmdkRXIUZsvzaSXN.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-Q2FaSzn7f68bT4yAdQ4l.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-gfQnCzd9OK0JVuvf4vNz.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-aNOZlVXTtnltcugsCEHG.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-Ae9K4vy1nUHcenaSdGBS.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-o7uSn63sinfvUrsPhit0.jpg""]",Fully Furnished,"[""Big Compound"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-ayegoro-estate-akobo-ibadan-oyo-8NPVV
4 Bedroom Semi Detached Duplex,Detached Duplex,"4 bedroom House for sale Ikoyi Lagos selling for ₦1,300,000,000.",1300000000,4,4,5,Ikoyi Lagos,Ikoyi,Lagos,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-Nxtu8ko8F7hUqk9Yc07q.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-THLtpkjUG9SN9aFdopUo.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-JO46VZjz9k09dr7cFPlH.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-8mG0BdBvSrhPzWprMSgB.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-RX7QILLxRNd7JU7dlNBf.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-PNTzaUKUM3zxcGGDxBBO.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-Bjj3kSfxVqamnvSCmmgA.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-G8fGPKpZGjdEDUX9v29K.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-lGyFVoND96IXZRScyLX6.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-FTHP45yuUVdgJbOZuUG1.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-eihR1bRyUoyoKVy2nCiy.jpg"", ""https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-kkZ52iPQIIBeVgezckMQ.jpg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-ikoyi-lagos-1NZDH
Newly Built 4 Bedroom Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Katampe Extension Katampe Abuja selling for ₦250,000,000.",250000000,4,4,5,Katampe Extension Katampe Abuja,Katampe,Abuja,Nigeria,"[""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-QLCJS7ZrFdbgx0PYYORh.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-4dnWMw7GulyQRMItbGvN.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-kvbIyAcsRdOnK4OV9bha.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-1v4AA3NvvslU5ELFgWva.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-n33L32mlpCOPGUyFFnpM.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-aksnNnAt2RR2THQpjWKA.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-8X4uRjCGO4A4MD95zPmh.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-hkhmYvzO30wuiOPk3fLV.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-gk2JKbuNda7LY1axqhXi.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-3YPTiQbhxO1MQt3TVsQL.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-8YZXMDvkSloxNeppxzhE.jpeg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-terrace-g1WwIcK8ZQVAPUrZmBsA.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-katampe-extension-katampe-abuja-2NWLU
3 Bedroom Semi Detached Duplex 1 Room Bq,Detached Duplex,"3 bedroom House for sale Jabi Jabi Abuja selling for ₦100,000,000.",100000000,3,3,4,Jabi Jabi Abuja,Jabi,Abuja,Nigeria,"[""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-uYw37V0BwjFJfeRznSH8.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-wtPDvAlCfG7xvzwFsvcz.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-8AdBWqKFHUz5vkn9hYxH.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-wIHFSrWVTWX7GjHDXYWT.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-M5TgttX6LSungPqPTsMY.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-HOmb3JZbM1MnN6mK2n6y.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-DdfFYTvIqPELWbv8qvjb.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-gcZ5UsUflfAKPBhILt7x.jpeg"", ""https://images.propertypro.ng/large/for-sale3-bedroom-semi-detached-duplex-1-room-bq-hVFQHp3FijkliXN7gTMR.jpeg""]",Fully Furnished,"[""Big Compound"", ""All Room Ensuit"", ""Boys Quater""]",https://propertypro.ng/property/3-bedroom-house-for-sale-jabi-jabi-abuja-3NWNE
4 Bedroom Terrace Duplex With Bq,Terrace Duplex,"4 bedroom House for sale  Life Camp Abuja selling for ₦300,000,000.",300000000,4,4,5,Life Camp Abuja,Camp,Abuja,Nigeria,"[""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-Ki14bwS510p5Wg0CUl7M.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-926McGvpdTt2XezdqTCe.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-ns6bkuqau9bAd1DafgM5.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-qlqjzuSuIJrEbRz0xAm7.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-zF7t7Zx8EmGG4HPCYZEx.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-lvQGD9gqXRF0LlgfXzX9.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-C5eXGAp6W2lweVoiTzSe.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-gW8KHJ9CpWPnU3kptKS4.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-yi4JRLjUlCqjltHiis6N.jpeg"", ""https://images.propertypro.ng/large/for-sale-4-bedroom-terrace-duplex-1-room-bq-jWryJjzqjAux7rLooDhy.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-life-camp-abuja-4NXGW
4 Bedroom Bungalow,Bungalow,"4 bedroom House for sale Yanbule Estate, Olorunsogo Layout, Opp. Ashi Junction, Before Akobo Bridge, Bashorun Akobo Road, Ibadan Basorun Ibadan Oyo selling for ₦75,000,000.",75000000,4,4,5,"Yanbule Estate, Olorunsogo Layout, Opp. Ashi Junction, Before Akobo Bridge, Bashorun Akobo Road, Ibadan Basorun Ibadan Oyo",Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-7rajNEm7Cghq3yPsCj3a.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-srUXFD9lN82wstuX6Hya.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-3PRxokfBK9hDZeeHysZk.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-e7cNB6pCDOvaGjLX7nvp.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-8HasGt97dxRPnap7nw5u.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-HrJfwpxmpEOBh1Kzkzlx.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-YtF7KXCyq4tTqQCWDSzo.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-a5RttYUZeIl7JvTnk8ps.jpg"", ""https://images.propertypro.ng/large/spacious-4-bedroom-bungalow-at-bashorun-akobo-tnf0syclILDhmJOmxkQ0.jpg""]",Fully Furnished,"[""All Room Ensuit"", ""POP Ceiling""]",https://propertypro.ng/property/4-bedroom-house-for-sale-yanbule-estate-olorunsogo-layout-opp-ashi-junction-before-akobo-bridge-bashorun-akobo-road-ibadan-basorun-ibadan-oyo-3NQEK
Massive 4 Bedroom Terraced Duplex With Bq,Duplex,"4 bedroom House for sale Main Maitama Abuja selling for ₦1,500,000,000.",1500000000,4,4,5,Main Maitama Abuja,Maitama,Abuja,Nigeria,"[""https://images.propertypro.ng/large/khu3j-massive-3-bedroom-terrace-duplex-with-bq-4Rb4OqceMHRdQ8xKGmrx.jpg"", ""https://images.propertypro.ng/large/EGzar-massive-3-bedroom-terrace-duplex-with-bq-jag5rKjATw7M362xGspw.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-3mCallOqNy1S6hsMe6L4.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-qnvsivqSzQsl4wBYwdZ5.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-oxym9qeAVsNIop7pnMGJ.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-tTkNRxfMRmKkdSdJ8TMm.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-UMJxKWqwPGiVGgwOvldt.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-L4kD5V3MwunXxhmyFAOH.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-cp9B1AhAyDjJ2VtNbt8b.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-BotlWZzAvJpXqHBdXHEt.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-bP235O6ReE9R5MJQZDMA.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-OXK7ks9YZjc1bWcPH0IF.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-Q6hE94P5Uq0V6PPRe3uB.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-zl5HN6f8nXVEggHZP1gl.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-suCoiFgk5YczNT9rkjhn.jpg"", ""https://images.propertypro.ng/large/massive-3-bedroom-terrace-duplex-with-bq-sV6ecuDqxkJCqEV7Yte2.jpg""]",Fully Furnished,"[""Street Lights"", ""24 Hours Security"", ""Big Compound"", ""All Room Ensuit"", ""Survey"", ""24 hours Electricity"", ""Drainage System"", ""CCTV Cameras"", ""POP Ceiling"", ""C of O"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-main-maitama-abuja-7NQQP
Luxury 2 Bedroom Apartment,Apartment,"2 bedroom House for sale Orange Island, Periwinkle Estate, Lekki Fore Shore, Lekki Phase 1 Lekki Lagos selling for ₦230,000,000.",230000000,2,2,3,"Orange Island, Periwinkle Estate, Lekki Fore Shore, Lekki Phase 1 Lekki Lagos",Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/own-a-luxury-2-bedroom-apartment-in-lekki-phase-1-GDGIBk5gUJFGhK4Anj8e.jpg""]",Fully Furnished,"[""Street Lights"", ""Swimming Pool"", ""24 Hours Security"", ""Big Compound"", ""Governor's Consent"", ""Gym"", ""All Room Ensuit"", ""24 hours Electricity"", ""Jacuzzi"", ""CCTV Cameras"", ""Drainage System"", ""Ocean View"", ""Water Treatment"", ""Free WiFi"", ""Parking Space"", ""Children Play Ground"", ""Survey"", ""POP Ceiling"", ""Supermarket Nearby"", ""C of O"", ""Security"", ""Fast Internet""]",https://propertypro.ng/property/2-bedroom-house-for-sale-orange-island-periwinkle-estate-lekki-fore-shore-lekki-phase-1-lekki-lagos-3NVUT
Newly Built Five Bedroom Fully Detached House With Bq,Detached House,"5 bedroom House for sale Ikoyi Lagos Parkview Estate Ikoyi Lagos selling for ₦1,750,000,000.",1750000000,5,5,6,Ikoyi Lagos Parkview Estate Ikoyi Lagos,Ikoyi,Lagos,Nigeria,"[""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-YPSjqdhCpoTri4bs66Zo.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-MH2mLtrAEwu7JGJXHXEL.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-adIAYNw5PEq1cGwUcvhv.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-j82nunLYk8mGsWl0LaHD.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-Ts3NlCgcHfGWvAD7EC9P.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-9VG85X7hK3nmYSrR3rit.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-JgOtuhZsXmHwfo4SdCay.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-p3IsWECb99RaXy5d2vxM.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-D9hVXyHmZadWdCYRumav.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-lqvqFyPXv2JYP5eqqQup.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-lyKS24JMx8WaG5OyAYJG.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-tmWTzr4qQPGYErLHjmsa.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-hmd5xndidYaV1zx6ocpw.jpeg"", ""https://images.propertypro.ng/large/newly-built-five-bedroom-fully-detached-house-with-bq-4YTXyPebivofoFAYS0CN.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-parkview-estate-ikoyi-lagos-5PAQG
